"","States","2020-03-29 19:30:00","2020-03-30 11:11:45","2020-03-30 21:30:00","2020-03-31 20:30:00","2020-04-01 09:00:00","2020-04-01 19:30:00","2020-04-02 09:00:00","2020-04-02 18:00:00","2020-04-03 09:00:00","2020-04-03 18:00:00","2020-04-04 09:00:00","2020-04-04 18:00:00","2020-04-05 09:00:00","2020-04-05 18:00:00","2020-04-06 09:00:00","2020-04-06 18:00:00","2020-04-07 09:00:00","2020-04-07 18:00:00","2020-04-08 09:00:00","2020-04-09 08:00:00","2020-04-09 17:00:00","2020-04-10 08:00:00","2020-04-10 17:00:00","2020-04-11 08:00:00","2020-04-11 17:00:00","2020-04-12 08:00:00","2020-04-12 17:00:00","2020-04-13 08:00:00","2020-04-13 17:00:00","2020-04-14 08:00:00","2020-04-14 17:00:00","2020-04-15 08:00:00","2020-04-15 17:00:00","2020-04-16 17:00:00","2020-04-17 08:00:00","2020-04-17 17:00:00","2020-04-18 17:00:00","2020-04-19 08:00:00","2020-04-19 5PM","2020-04-20 8AM","April 20, 2020 17:00 hrs","April 21, 2020 08:00 hrs","April 21, 2020 17:00 hrs","April 22, 2020 08:00 hrs","April 22, 2020 17:00 hrs","April 23, 2020 08:00 hrs","April 23, 2020 17:00 hrs","April 24, 2020 08:00 hrs","April 24, 2020 17:00 hrs","April 25, 2020 17:00 hrs","April 26, 2020 17:00 hrs","April 27, 2020 17:00 hrs","April 28, 2020 17:00 hrs","April 29, 2020 17:00 hrs","April 30, 2020 17:00 hrs","May 01, 2020 17:00 hrs","May 02, 2020 17:00 hrs","May 04, 2020 17:00 hrs","May 05, 2020 17:00 hrs","May 07, 2020 17:00 hrs","May 08, 2020 17:00 hrs","May 09, 2020 17:00 hrs","May 10, 2020 17:00 hrs","May 11, 2020 17:00 hrs","May 12, 2020 17:00 hrs","May 13, 2020 08:00 hrs","May 14, 2020 08:00 hrs","May 15, 2020 08:00 hrs","May 16, 2020 08:00 hrs","May 17, 2020 08:00 hrs","May 18, 2020 08:00 hrs","May 19, 2020 08:00 hrs","May 20, 2020 08:00 hrs","May 21, 2020 08:00 hrs","May 22, 2020 08:00 hrs","May 23, 2020 08:00 hrs","May 24, 2020 08:00 hrs","May 25, 2020 08:00 hrs","May 26, 2020 08:00 hrs","May 27, 2020 08:00 hrs","May 28, 2020 08:00 hrs","May 29, 2020 08:00 hrs","May 30, 2020 08:00 hrs","May 31, 2020 08:00 hrs","June 01, 2020 08:00 hrs","June 02, 2020 08:00 hrs","June 03, 2020 08:00 hrs","June 04, 2020 08:00 hrs","June 05, 2020 08:00 hrs","June 06, 2020 08:00 hrs","June 07, 2020 08:00 hrs","June 08, 2020 08:00 hrs","June 09, 2020 08:00 hrs","June 10, 2020 08:00 hrs","June 11, 2020 08:00 hrs","June 12, 2020 08:00 hrs","June 13, 2020 08:00 hrs","June 14, 2020 08:00 hrs","June 15, 2020 08:00 hrs","June 16, 2020 08:00 hrs","June 17, 2020 08:00 hrs","June 18, 2020 08:00 hrs","June 19, 2020 08:00 hrs","June 20, 2020 08:00 hrs","June 21, 2020 08:00 hrs"
"11","Delhi",49,53,87,97,120,152,152,219,219,219,386,445,445,503,503,523,523,576,576,669,669,720,898,903,903,1069,1069,1154,1154,1510,1510,1561,1561,1578,1640,1640,1707,1893,1893,2003,2003,2081,2081,2156,2156,2248,2248,2376,2376,2514,2625,2918,3108,3314,3439,3515,3738,4549,4898,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,10054,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17386,18549,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,53116,56746
"12","Goa",5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,15,17,29,38,46,50,52,54,55,66,67,67,68,69,69,70,70,71,79,79,166,196,267,300,330,359,387,417,463,523,564,592,629,656,705,725,754
"13","Gujarat",58,58,69,73,74,82,82,87,87,95,95,105,105,122,122,144,144,165,165,179,179,241,241,308,308,432,432,516,539,539,617,650,695,871,930,1021,1272,1376,1376,1743,1851,1939,2066,2178,2272,2407,2407,2624,2624,2815,3071,3301,3548,3774,4082,4395,4721,5428,5804,6625,7012,7402,7796,8194,8541,8903,9267,9591,9931,10988,11379,11745,12140,12537,12905,13268,13664,14056,14460,14821,15195,15562,15934,16343,16779,17200,17617,18100,18584,19094,19592,20070,20545,21014,21521,22032,22527,23038,23544,24055,24577,25093,25601,26141,26680
"14","Haryana",33,33,36,40,43,43,43,43,43,49,49,49,49,59,84,84,90,90,147,147,169,169,169,177,177,177,185,185,185,185,199,199,199,205,205,205,225,225,225,233,233,254,254,254,254,262,262,272,272,272,289,289,296,310,310,313,360,442,517,594,625,647,675,703,730,780,793,818,818,887,910,928,964,993,1031,1067,1131,1184,1184,1305,1381,1504,1721,1923,2091,2356,2652,2954,3281,3597,3952,4448,4854,5209,5579,5968,6334,6749,7208,7722,8272,8832,9218,9743,10223
"15","Himachal Pradesh",3,3,3,3,3,3,3,3,6,6,6,6,6,6,13,13,13,13,18,18,18,18,28,28,28,32,32,32,32,32,32,33,33,35,35,35,38,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,41,45,46,50,50,55,59,65,66,74,76,78,80,90,92,110,152,168,185,203,223,247,273,276,295,313,331,340,345,359,383,393,400,413,421,445,451,470,486,502,518,556,560,569,595,619,656
"16","Jammu and Kashmir",31,31,48,54,55,62,62,62,70,75,75,75,92,106,106,109,109,116,116,158,158,158,184,207,207,207,224,245,245,270,270,278,278,300,314,314,328,341,341,350,350,368,368,380,380,407,407,427,427,454,494,523,546,565,581,614,639,701,726,775,793,823,836,861,879,934,971,983,1013,1121,1183,1289,1317,1390,1449,1489,1569,1621,1668,1759,1921,2036,2164,2341,2446,2601,2718,2857,3142,3324,3467,4087,4285,4346,4507,4574,4730,4878,5041,5220,5298,5406,5555,5680,5834
"17","Jharkhand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,53,55,59,67,82,103,105,107,109,111,115,115,127,132,132,156,157,160,172,173,197,203,217,223,223,231,231,290,308,350,370,377,426,448,469,511,563,610,659,712,752,793,881,1000,1099,1256,1411,1489,1599,1617,1711,1745,1763,1839,1895,1920,1965,1965
"18","Karnataka",76,80,83,83,101,101,110,110,124,124,128,128,144,144,151,151,151,175,175,181,181,181,197,207,214,214,226,232,247,247,258,260,277,315,315,353,371,384,384,390,395,408,415,418,425,427,443,445,463,489,501,511,520,532,557,565,598,642,659,693,705,753,794,848,862,925,959,987,1056,1092,1147,1246,1397,1462,1605,1743,1959,2089,2182,2283,2418,2533,2781,2922,3221,3408,3796,4063,4320,4835,5213,5452,5760,5921,6041,6245,6516,6824,7000,7213,7530,7734,7944,8281,8697
"19","Kerala",182,194,202,234,241,241,265,265,286,286,295,295,306,306,314,314,327,327,336,345,345,357,357,364,364,364,374,376,376,379,379,387,387,388,395,395,396,400,400,402,402,408,408,427,427,438,438,447,448,451,458,469,482,486,496,497,498,500,500,503,503,503,505,512,519,524,534,560,576,587,601,630,642,666,690,732,795,847,896,963,1004,1088,1150,1208,1269,1326,1412,1494,1588,1699,1807,1914,2005,2096,2161,2244,2322,2407,2461,2543,2622,2697,2794,2912,3039
"20","Ladakh",13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,22,22,22,22,22,41,41,41,42,42,42,42,42,42,43,43,43,43,43,43,43,44,44,44,49,52,52,53,53,73,74,74,74,77,81,90,90,97,99,103,103,108,115,135,239,437,549,555,649,687,687,744,836
