"","States","2020-03-29 19:30:00","2020-03-30 11:11:45","2020-03-30 21:30:00","2020-03-31 20:30:00","2020-04-01 09:00:00","2020-04-01 19:30:00","2020-04-02 09:00:00","2020-04-02 18:00:00","2020-04-03 09:00:00","2020-04-03 18:00:00","2020-04-04 09:00:00","2020-04-04 18:00:00","2020-04-05 09:00:00","2020-04-05 18:00:00","2020-04-06 09:00:00","2020-04-06 18:00:00","2020-04-07 09:00:00","2020-04-07 18:00:00","2020-04-08 09:00:00","2020-04-09 08:00:00","2020-04-09 17:00:00","2020-04-10 08:00:00","2020-04-10 17:00:00","2020-04-11 08:00:00","2020-04-11 17:00:00","2020-04-12 08:00:00","2020-04-12 17:00:00","2020-04-13 08:00:00","2020-04-13 17:00:00","2020-04-14 08:00:00","2020-04-14 17:00:00","2020-04-15 08:00:00","2020-04-15 17:00:00","2020-04-16 17:00:00","2020-04-17 08:00:00","2020-04-17 17:00:00","2020-04-18 17:00:00","2020-04-19 08:00:00","2020-04-19 5PM","2020-04-20 8AM","April 20, 2020 17:00 hrs","April 21, 2020 08:00 hrs","April 21, 2020 17:00 hrs","April 22, 2020 08:00 hrs","April 22, 2020 17:00 hrs","April 23, 2020 08:00 hrs","April 23, 2020 17:00 hrs","April 24, 2020 08:00 hrs","April 24, 2020 17:00 hrs","April 25, 2020 17:00 hrs","April 26, 2020 17:00 hrs","April 27, 2020 17:00 hrs","April 28, 2020 17:00 hrs","April 29, 2020 17:00 hrs","April 30, 2020 17:00 hrs","May 01, 2020 17:00 hrs","May 02, 2020 17:00 hrs","May 04, 2020 17:00 hrs","May 05, 2020 17:00 hrs","May 07, 2020 17:00 hrs","May 08, 2020 17:00 hrs","May 09, 2020 17:00 hrs","May 10, 2020 17:00 hrs","May 11, 2020 17:00 hrs","May 12, 2020 17:00 hrs","May 13, 2020 08:00 hrs","May 14, 2020 08:00 hrs","May 15, 2020 08:00 hrs","May 16, 2020 08:00 hrs","May 17, 2020 08:00 hrs","May 18, 2020 08:00 hrs","May 19, 2020 08:00 hrs","May 20, 2020 08:00 hrs","May 21, 2020 08:00 hrs","May 22, 2020 08:00 hrs","May 23, 2020 08:00 hrs","May 24, 2020 08:00 hrs","May 25, 2020 08:00 hrs","May 26, 2020 08:00 hrs","May 27, 2020 08:00 hrs","May 28, 2020 08:00 hrs","May 29, 2020 08:00 hrs","May 30, 2020 08:00 hrs","May 31, 2020 08:00 hrs","June 01, 2020 08:00 hrs","June 02, 2020 08:00 hrs","June 03, 2020 08:00 hrs","June 04, 2020 08:00 hrs","June 05, 2020 08:00 hrs","June 06, 2020 08:00 hrs","June 07, 2020 08:00 hrs","June 08, 2020 08:00 hrs","June 09, 2020 08:00 hrs","June 10, 2020 08:00 hrs","June 11, 2020 08:00 hrs","June 12, 2020 08:00 hrs","June 13, 2020 08:00 hrs","June 14, 2020 08:00 hrs","June 15, 2020 08:00 hrs","June 16, 2020 08:00 hrs","June 17, 2020 08:00 hrs","June 18, 2020 08:00 hrs","June 19, 2020 08:00 hrs","June 20, 2020 08:00 hrs"
"11","Delhi",2,2,2,2,2,2,2,4,4,4,6,6,6,7,7,7,7,7,9,9,9,12,13,13,14,19,19,24,24,28,28,30,30,32,38,38,42,42,42,45,45,47,47,47,47,48,48,50,50,53,54,54,54,54,56,59,61,64,64,65,66,68,73,73,73,86,106,115,123,129,160,168,168,176,194,208,231,261,276,288,303,316,398,416,473,523,556,606,650,708,761,812,874,905,984,1085,1214,1271,1327,1400,1837,1904,1969,2035
"12","Goa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Gujarat",5,5,6,6,6,6,6,7,7,8,9,10,10,11,11,12,12,13,13,16,16,17,17,19,19,22,22,25,26,26,26,28,30,36,36,38,48,53,53,63,67,71,77,90,95,103,103,112,112,127,133,151,162,181,197,214,236,290,319,396,425,449,472,493,513,537,566,586,606,625,659,694,719,749,773,802,829,858,888,915,938,960,980,1007,1038,1063,1092,1122,1155,1190,1219,1249,1280,1313,1347,1385,1415,1448,1477,1505,1533,1560,1591,1618
"14","Haryana",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,7,7,8,9,10,11,11,11,11,11,13,14,14,14,14,15,16,16,16,16,17,18,19,19,20,20,21,23,23,24,24,24,28,39,45,52,64,70,78,88,100,118,130,134,144
"15","Himachal Pradesh",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,8,8,8,8,8
"16","Jammu and Kashmir",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,8,8,8,8,8,8,9,9,9,9,10,10,11,11,11,12,13,15,17,18,20,20,21,21,23,24,26,27,28,28,28,31,33,34,35,36,39,41,45,48,51,52,53,55,59,62,63,65,71,75
"17","Jharkhand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7,8,8,8,8,8,8,8,9,10,11,11
"18","Karnataka",3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,9,10,11,13,13,13,13,14,14,16,16,16,17,17,17,17,17,17,18,18,18,20,20,20,21,21,25,26,28,29,30,30,30,31,31,31,33,35,36,36,37,37,40,41,41,41,42,42,44,44,47,47,48,48,51,52,52,53,57,57,59,61,64,66,69,72,79,81,86,89,94,102,114,124
"19","Kerala",1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,7,7,8,9,9,10,11,11,14,14,15,15,16,16,18,18,19,19,19,20,20,20,21,21
"20","Ladakh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","Madhya Pradesh",2,2,3,3,3,3,6,6,6,6,6,6,6,9,9,9,9,13,13,13,16,16,16,33,33,36,36,36,43,43,50,50,53,53,53,57,69,70,70,70,74,74,76,76,80,80,81,83,83,92,99,106,113,0,130,137,145,165,176,185,193,200,215,215,221,225,232,237,239,243,248,252,258,267,270,272,281,290,300,305,313,321,334,343,350,358,364,371,377,384,399,412,414,420,427,431,440,447,459,465,476,482,486,495
"22","Maharashtra",6,8,8,9,9,9,13,13,16,16,19,24,24,24,45,45,45,48,64,72,72,97,97,110,110,127,127,149,149,160,160,178,178,187,194,194,201,211,211,223,223,232,232,251,251,269,269,283,283,301,323,342,369,400,432,459,485,548,583,651,694,731,779,832,868,921,975,1019,1068,1135,1198,1249,1325,1390,1454,1517,1577,1635,1695,1792,1897,1982,2098,2197,2286,2362,2465,2587,2710,2849,2969,3060,3169,3289,3438,3590,3717,3830,3950,4128,5537,5651,5751,5893
